instance,status,objective_kwh,solve_result_num,vehicles_used,time_limit,mip_gap
C10R2,solved,212.65064836,0,3,300,0.01
C11R2,solved,230.82175395,0,2,300,0.01
C12R2,solved,278.67604236,0,3,300,0.01
C13R2,solved,305.38459373,0,3,300,0.01
C14R2,solved,248.85913962,0,2,300,0.01
C15R2,solved,262.27504446,0,2,300,0.01
C16R2,solved,322.93948366,0,3,300,0.01
C17R2,solved,219.73896276,0,3,300,0.01
C18R2,limit,371.32928905,400,3,300,0.01
C19R2,limit,266.07544021,400,3,300,0.01
C20R2,limit,329.33021103,400,3,300,0.01
C21R2,limit,338.64863574,400,3,300,0.01
C22R2,limit,319.70963124,400,3,300,0.01
C23R2,limit,343.12007830,400,3,900,0.05
C24R2,limit,322.77563300,400,3,300,0.01
