set,instance,feasible,total_ms,read_ms,greedy_ms,repair_ms,local_search_ms,energy_kwh,emissions_kg,routes,visited_customers,total_customers,error
large,C100R2-1.txt,0,306,53,75,177,0,737.468,636.066,6,100,100,"Bateria insuficiente en arco 54 [orig=53, CUSTOMER] -> 102 [orig=101, STATION]. Energia requerida = 71.8381 kWh, bateria disponible = 39.3597 kWh."
large,C100R2-2.txt,1,124,50,67,0,6,2217.74,1912.8,6,100,100,""
large,C100R4-1.txt,1,267,52,208,0,6,2463.73,2124.97,5,100,100,""
large,C100R4-2.txt,1,250,52,193,0,4,3019.01,2603.9,4,100,100,""
large,C100R6-1.txt,1,486,56,421,0,7,2148.33,1852.93,6,100,100,""
large,C100R6-2.txt,1,475,54,416,0,5,2275.35,1962.49,4,100,100,""
large,C100R8-1.txt,1,792,58,728,0,5,2616.45,2256.69,4,100,100,""
large,C100R8-2.txt,1,805,57,741,0,6,2686.09,2316.75,6,100,100,""
large,C150R2-1.txt,1,314,114,171,19,9,3420.63,2950.29,7,150,150,""
large,C150R2-2.txt,0,2703,113,163,2427,0,2180.99,1881.11,7,146,150,"No todos los clientes fueron visitados. Faltan: 3 [orig=2, CUSTOMER], 44 [orig=43, CUSTOMER], 96 [orig=95, CUSTOMER], 123 [orig=122, CUSTOMER]"
large,C150R4-1.txt,1,613,117,488,0,7,4897.81,4224.36,6,150,150,""
large,C150R4-2.txt,1,1068,114,476,472,3,2006.14,1730.29,7,150,150,""
large,C150R6-1.txt,0,1156,115,973,66,1,1180.24,1017.96,7,150,150,"Bateria insuficiente en arco 26 [orig=25, CUSTOMER] -> 131 [orig=130, CUSTOMER]. Energia requerida = 20.2733 kWh, bateria disponible = 13.1009 kWh."
large,C150R6-2.txt,0,1058,115,941,0,0,3563.38,3073.42,7,150,150,"Bateria insuficiente en arco 155 [orig=154, STATION] -> 142 [orig=141, CUSTOMER]. Energia requerida = 111.556 kWh, bateria disponible = 110 kWh."
large,C150R8-1.txt,1,1704,121,1574,0,7,3241.27,2795.6,6,150,150,""
large,C150R8-2.txt,1,1907,122,1777,0,7,3228.49,2784.57,6,150,150,""
large,C25R2-1.txt,0,16,5,5,4,0,818.513,705.967,3,24,25,"No todos los clientes fueron visitados. Faltan: 24 [orig=23, CUSTOMER]"
large,C25R2-2.txt,1,16,5,5,1,3,895.647,772.495,3,25,25,""
large,C25R4-1.txt,1,20,6,13,0,1,815.721,703.56,2,25,25,""
large,C25R4-2.txt,1,24,6,15,0,2,668.902,576.928,3,25,25,""
large,C25R6-1.txt,1,33,6,26,0,0,677.572,584.406,2,25,25,""
large,C25R6-2.txt,1,38,6,29,0,2,846.421,730.038,3,25,25,""
large,C25R8-1.txt,1,52,6,45,0,0,911.108,785.83,2,25,25,""
large,C25R8-2.txt,1,54,7,46,0,1,780.09,672.827,2,25,25,""
large,C50R2-1.txt,1,50,26,20,0,3,1048.03,903.925,4,50,50,""
large,C50R2-2.txt,1,71,15,20,30,4,793.585,684.467,4,50,50,""
large,C50R4-1.txt,1,80,16,55,4,4,1109.73,957.144,4,50,50,""
large,C50R4-2.txt,1,65,16,48,0,0,1164.68,1004.53,3,50,50,""
large,C50R6-1.txt,1,121,17,103,0,0,1132.26,976.572,3,50,50,""
large,C50R6-2.txt,1,128,17,106,0,4,1319.62,1138.17,3,50,50,""
large,C50R8-1.txt,1,203,18,182,0,2,1250.56,1078.61,2,50,50,""
large,C50R8-2.txt,1,190,19,167,0,3,1395.3,1203.45,3,50,50,""
large,C75R2-1.txt,0,448,30,39,378,0,1538.56,1327.01,5,73,75,"No todos los clientes fueron visitados. Faltan: 8 [orig=7, CUSTOMER], 66 [orig=65, CUSTOMER]"
large,C75R2-2.txt,1,289,31,41,209,6,1339.55,1155.36,5,75,75,""
large,C75R4-1.txt,1,178,32,137,2,6,1409.12,1215.36,5,75,75,""
large,C75R4-2.txt,1,150,31,113,0,5,2353.53,2029.92,5,75,75,""
large,C75R6-1.txt,1,260,32,223,0,4,1943.23,1676.04,4,75,75,""
large,C75R6-2.txt,1,300,33,261,0,4,2373.37,2047.03,5,75,75,""
large,C75R8-1.txt,0,467,35,429,0,1,104.952,90.5214,5,75,75,"Bateria insuficiente en arco 68 [orig=67, CUSTOMER] -> 1 [orig=0, DEPOT_END]. Energia requerida = 12.5 kWh, bateria disponible = 5.04766 kWh."
large,C75R8-2.txt,1,416,35,379,0,1,2260.96,1950.08,3,75,75,""
