set,instance,feasible,total_ms,read_ms,greedy_ms,repair_ms,local_search_ms,energy_kwh,emissions_kg,routes,visited_customers,total_customers,error
small,C10R2.txt,1,2,1,0,0,0,391.659,337.806,2,10,10,""
small,C11R2.txt,1,4,2,0,0,1,407.295,351.292,2,11,11,""
small,C12R2.txt,1,5,1,2,0,1,455.982,393.285,3,12,12,""
small,C13R2.txt,1,6,3,1,0,1,555.548,479.16,1,13,13,""
small,C14R2.txt,1,5,2,2,0,0,515.752,444.836,3,14,14,""
small,C15R2.txt,1,8,3,2,0,2,620.012,534.76,2,15,15,""
small,C16R2.txt,1,8,3,2,0,2,586.887,506.19,3,16,16,""
small,C17R2.txt,1,8,3,3,0,2,348.536,300.612,3,17,17,""
small,C18R2.txt,0,9,3,3,1,0,54.1131,46.6725,3,18,18,"Bateria insuficiente en arco 19 [orig=18, CUSTOMER] -> 4 [orig=3, CUSTOMER]. Energia requerida = 59.3615 kWh, bateria disponible = 55.8869 kWh."
small,C19R2.txt,1,7,3,2,0,1,477.694,412.011,2,19,19,""
small,C20R2.txt,1,7,4,3,0,0,762.629,657.767,1,20,20,""
small,C21R2.txt,1,9,4,3,0,1,634.18,546.981,2,21,21,""
small,C22R2.txt,1,11,4,4,0,2,639.367,551.454,2,22,22,""
small,C23R2.txt,1,13,4,5,0,3,713.364,615.277,3,23,23,""
small,C24R2.txt,1,11,5,4,0,1,623.442,537.718,2,24,24,""
