set,instance,feasible,time_ms,initial_feasible,initial_energy,abc_energy,abc_emissions,abc_routes,visited,total_customers,error
large,C100R2-1.txt,1,1331,1,1654.85,1430.92,1234.17,6,100,100,""
large,C100R2-2.txt,1,1736,1,2141.19,1639.07,1413.7,6,100,100,""
large,C100R4-1.txt,1,2661,1,2377.98,2395.33,2065.97,6,100,100,""
large,C100R4-2.txt,1,2538,1,3012.26,2744.87,2367.45,6,100,100,""
large,C100R6-1.txt,1,2770,1,2146.78,1921.59,1657.37,6,100,100,""
large,C100R6-2.txt,1,3068,1,2259.48,2250.45,1941.01,4,100,100,""
large,C100R8-1.txt,1,2921,1,2544.62,2296.11,1980.4,5,100,100,""
large,C100R8-2.txt,1,2219,1,2677.97,1922.46,1658.12,6,100,100,""
large,C150R2-1.txt,1,2368,1,3411.97,2996.96,2584.88,7,150,150,""
large,C150R2-2.txt,0,1654,0,2180.99,0,0,5,150,150,"Capacidad excedida. Demanda ruta = 3.0454 tons, capacidad = 3 tons."
large,C150R4-1.txt,1,3086,1,4748.1,4797.99,4138.27,7,150,150,""
large,C150R4-2.txt,1,3498,1,2006.14,1952.06,1683.66,7,150,150,""
large,C150R6-1.txt,1,4283,1,2505.24,1988.31,1714.91,7,150,150,""
large,C150R6-2.txt,1,3936,1,3684.28,3323.37,2866.4,7,150,150,""
large,C150R8-1.txt,1,4660,1,3076.95,3098.56,2672.5,6,150,150,""
large,C150R8-2.txt,1,4381,1,3210.47,2459.83,2121.61,7,150,150,""
large,C25R2-1.txt,1,276,0,818.513,798.995,689.134,3,25,25,""
large,C25R2-2.txt,1,287,1,796.85,709.635,612.061,3,25,25,""
large,C25R4-1.txt,1,543,1,767.715,683.299,589.345,1,25,25,""
large,C25R4-2.txt,1,433,1,640.118,723.079,623.656,1,25,25,""
large,C25R6-1.txt,1,736,1,677.572,582.419,502.336,1,25,25,""
large,C25R6-2.txt,1,564,1,781.111,710.057,612.424,1,25,25,""
large,C25R8-1.txt,1,724,1,911.108,581.651,501.674,1,25,25,""
large,C25R8-2.txt,1,702,1,777.927,621.571,536.105,1,25,25,""
large,C50R2-1.txt,1,845,1,1029.48,1083.35,934.391,4,50,50,""
large,C50R2-2.txt,1,701,1,789.2,861.008,742.619,4,50,50,""
large,C50R4-1.txt,1,1170,1,1012.68,1260.77,1087.41,4,50,50,""
large,C50R4-2.txt,1,1234,1,1164.68,1144.03,986.726,2,50,50,""
large,C50R6-1.txt,1,1369,1,1132.26,1223.09,1054.91,2,50,50,""
large,C50R6-2.txt,1,1327,1,1308.52,1138.09,981.604,4,50,50,""
large,C50R8-1.txt,1,1380,1,1214.99,1160.51,1000.94,3,50,50,""
large,C50R8-2.txt,1,1587,1,1280.14,1276.67,1101.13,2,50,50,""
large,C75R2-1.txt,1,1141,0,1538.56,1437.79,1240.09,5,75,75,""
large,C75R2-2.txt,1,1293,1,1322.44,1223.03,1054.86,5,75,75,""
large,C75R4-1.txt,1,1473,1,1394.43,1040.98,897.844,5,75,75,""
large,C75R4-2.txt,1,2053,1,2333.93,1823.23,1572.54,5,75,75,""
large,C75R6-1.txt,1,2272,1,1931.05,1789.73,1543.65,3,75,75,""
large,C75R6-2.txt,1,1807,1,2310.19,1923.86,1659.33,5,75,75,""
large,C75R8-1.txt,1,2177,1,2061.75,2023.75,1745.48,4,75,75,""
large,C75R8-2.txt,1,2491,1,2267.8,1988.99,1715.5,3,75,75,""
