set,instance,feasible,time_ms,initial_feasible,initial_energy,abc_energy,abc_emissions,abc_routes,visited,total_customers,error
small,C10R2.txt,1,194,1,391.659,239.116,206.237,1,10,10,""
small,C11R2.txt,1,252,1,368.953,253.445,218.597,1,11,11,""
small,C12R2.txt,1,172,1,412.864,365.397,315.155,3,12,12,""
small,C13R2.txt,1,325,1,547.883,340.388,293.585,1,13,13,""
small,C14R2.txt,1,210,1,515.752,327.564,282.524,1,14,14,""
small,C15R2.txt,1,307,1,609.456,327.237,282.242,1,15,15,""
small,C16R2.txt,1,328,1,551.74,446.348,384.975,1,16,16,""
small,C17R2.txt,1,232,1,346.499,348.245,300.361,3,17,17,""
small,C18R2.txt,1,214,1,690.448,571.076,492.553,3,18,18,""
small,C19R2.txt,1,391,1,477.694,342.567,295.464,1,19,19,""
small,C20R2.txt,1,354,1,762.629,490.828,423.339,1,20,20,""
small,C21R2.txt,1,450,1,605.23,516.857,445.789,1,21,21,""
small,C22R2.txt,1,387,1,598.732,519.819,448.344,1,22,22,""
small,C23R2.txt,1,283,1,708.463,555.014,478.7,3,23,23,""
small,C24R2.txt,1,382,1,601.314,554.934,478.631,1,24,24,""
