set,instance,feasible_solutions_out_of_10,best_feasible_energy,best_overall_energy,best_feasible_routes,min_routes_overall,generation_ms
large,C100R2-1.txt,7,1430.92,979.585,6,6,7415
large,C100R2-2.txt,7,1640.08,1251.57,6,6,2396
large,C100R4-1.txt,7,2395.33,2039.99,6,5,4391
large,C100R4-2.txt,9,2895.42,2895.42,6,5,10418
large,C100R6-1.txt,7,1921.59,1763.27,6,5,6486
large,C100R6-2.txt,9,2374.8,2374.8,6,4,20725
large,C100R8-1.txt,10,2720.87,2720.87,5,5,37564
large,C100R8-2.txt,7,1922.46,1407.13,6,6,10030
large,C150R2-1.txt,7,2996.96,2643.8,7,7,10624
large,C150R2-2.txt,0,N/A,818.606,N/A,7,155430
large,C150R4-1.txt,7,4797.99,4797.99,7,6,10544
large,C150R4-2.txt,7,1952.06,1952.06,7,7,16047
large,C150R6-1.txt,7,1988.31,1988.31,7,7,16143
large,C150R6-2.txt,7,3428.13,3334.62,7,6,11886
large,C150R8-1.txt,10,3393.71,3393.71,6,5,81524
large,C150R8-2.txt,7,2459.83,2252.95,7,7,23738
large,C25R2-1.txt,4,798.995,501.202,3,3,574
large,C25R2-2.txt,7,737.756,737.756,3,3,246
large,C25R4-1.txt,10,863.858,863.858,2,2,716
large,C25R4-2.txt,9,733.381,559.913,3,2,769
large,C25R6-1.txt,10,660.893,660.893,2,1,1377
large,C25R6-2.txt,9,866.719,866.719,3,2,1500
large,C25R8-1.txt,10,920.69,920.69,2,1,2252
large,C25R8-2.txt,10,784.618,784.618,3,1,2663
large,C50R2-1.txt,7,1083.35,1010.09,4,3,298
large,C50R2-2.txt,7,861.008,485.887,4,4,904
large,C50R4-1.txt,7,1260.77,1251.81,4,3,921
large,C50R4-2.txt,9,1144.03,1144.03,2,2,2550
large,C50R6-1.txt,9,1298.22,1298.22,3,3,5441
large,C50R6-2.txt,7,1257.88,921.841,4,3,2767
large,C50R8-1.txt,10,1253.78,1253.78,3,3,9645
large,C50R8-2.txt,10,1360.78,1360.78,3,2,8452
large,C75R2-1.txt,2,1437.79,646.606,5,5,22163
large,C75R2-2.txt,7,1223.03,616.236,5,5,3638
large,C75R4-1.txt,7,1040.98,1040.98,5,5,2538
large,C75R4-2.txt,7,1823.23,1823.23,5,5,1729
large,C75R6-1.txt,8,1998.13,1998.13,4,3,11776
large,C75R6-2.txt,7,2166.88,2166.88,5,5,4878
large,C75R8-1.txt,10,2067.77,2067.77,5,4,21295
large,C75R8-2.txt,10,2311.18,2311.18,3,3,19043
